id_sess;block;trial;dual;lines_first;decision;task;side;coherence;mu;meanTilt;sdTilt;tOn;tOff;rr;acc;tResp;id;seq;signed_mu;signed_coherence;session;id_session;s;sign_s
18cl01;1;18;0;0;1;motion;1;0.0302;NA;NA;NA;339915.9764;339916.3319;1;1;0.4276;18;1;NA;0.0302;1;18_1.0;0.816781258045871;1
18cl01;1;18;0;0;2;orientation;1;NA;3.3231;2.1849;14.3427;339917.3356;339917.6378;0;0;0.1949;18;1;3.3231;NA;1;18_1.0;0.33795289702978;1
18cl01;1;19;0;0;1;motion;1;0.2477;NA;NA;NA;339920.0162;339920.3703;0;0;0.5502;18;1;NA;0.2477;1;18_1.0;1.39150775008504;1
18cl01;1;19;0;0;2;orientation;-1;NA;7.1323;-7.6906;15.3183;339921.4787;339921.7809;0;1;0.1794;18;1;-7.1323;NA;1;18_1.0;-1.31294308028741;-1
18cl01;1;20;0;0;1;motion;-1;0.1146;NA;NA;NA;339923.8106;339924.1647;0;1;0.58;18;1;NA;-0.1146;1;18_1.0;0.434158747483705;1
18cl01;1;20;0;0;2;orientation;-1;NA;7.0741;-5.6555;14.4704;339925.3021;339925.6043;0;1;0.2123;18;1;-7.0741;NA;1;18_1.0;-1.30375336531908;-1
18cl01;1;21;0;0;1;motion;-1;0.8067;NA;NA;NA;339927.7259;339928.1432;0;1;0.3443;18;1;NA;-0.8067;1;18_1.0;-1.39466058649472;-1
18cl01;1;21;0;0;2;orientation;-1;NA;11.2079;-10.9395;14.5777;339929.0563;339929.3608;0;1;0.2466;18;1;-11.2079;NA;1;18_1.0;-1.95647576628258;-1
18cl01;1;22;0;0;1;motion;1;0.2126;NA;NA;NA;339932.2765;339932.6811;1;1;0.4156;18;1;NA;0.2126;1;18_1.0;1.29875878516286;1
18cl01;1;22;0;0;2;orientation;-1;NA;9.0152;-8.464;15.8816;339933.6867;339933.9889;0;1;0.2445;18;1;-9.0152;NA;1;18_1.0;-1.61025088636757;-1
18cl01;1;23;0;0;1;motion;1;0.6058;NA;NA;NA;339936.5811;339936.9349;1;1;0.3685;18;1;NA;0.6058;1;18_1.0;2.33775858594355;1
18cl01;1;23;0;0;2;orientation;1;NA;11.4923;9.4375;15.8202;339937.8945;339938.1967;0;0;0.3241;18;1;11.4923;NA;1;18_1.0;1.62786044890724;1
18cl01;1;24;0;0;1;motion;-1;0.4168;NA;NA;NA;339940.8759;339941.2304;0;1;0.4571;18;1;NA;-0.4168;1;18_1.0;-0.364380773869105;-1
18cl01;1;24;0;0;2;orientation;1;NA;4.5787;3.5966;13.9004;339942.2462;339942.5498;0;0;0.4829;18;1;4.5787;NA;1;18_1.0;0.536210734044094;1
18cl01;1;25;0;0;1;motion;-1;0.1056;NA;NA;NA;339945.2327;339945.5857;1;0;0.5658;18;1;NA;-0.1056;1;18_1.0;0.457940533361187;1
18cl01;1;25;0;0;2;orientation;-1;NA;3.0968;-2.5538;16.1086;339946.7421;339947.0443;0;1;0.2119;18;1;-3.0968;NA;1;18_1.0;-0.675742139485189;-1
18cl01;1;26;0;0;1;motion;-1;0.3714;NA;NA;NA;339949.6257;339949.9799;0;1;0.4115;18;1;NA;-0.3714;1;18_1.0;-0.24441487622047;-1
18cl01;1;26;0;0;2;orientation;1;NA;9.9766;9.3693;13.897;339950.9508;339951.2529;0;0;0.3386;18;1;9.9766;NA;1;18_1.0;1.38853311252416;1
18cl01;1;27;0;0;1;motion;-1;0.404;NA;NA;NA;339954.2715;339954.6233;0;1;0.4092;18;1;NA;-0.404;1;18_1.0;-0.330557789510019;-1
18cl01;1;27;0;0;2;orientation;-1;NA;3.7526;-2.0791;15.1233;339955.5585;339955.8606;0;1;0.2761;18;1;-3.7526;NA;1;18_1.0;-0.779292226705631;-1
18cl01;1;28;0;0;1;motion;1;0.1234;NA;NA;NA;339958.4944;339958.8504;1;1;0.4858;18;1;NA;0.1234;1;18_1.0;1.06305486291047;1
18cl01;1;28;0;0;2;orientation;1;NA;6.8259;6.2606;14.2143;339959.8939;339960.1961;0;0;0.2593;18;1;6.8259;NA;1;18_1.0;0.891041103061748;1
18cl01;1;29;0;0;1;motion;-1;0.666;NA;NA;NA;339962.8416;339963.1959;0;1;0.4444;18;1;NA;-0.666;1;18_1.0;-1.02287200061007;-1
18cl01;1;29;0;0;2;orientation;1;NA;7.9961;11.3475;16.1167;339964.1834;339964.4856;1;1;0.4192;18;1;7.9961;NA;1;18_1.0;1.07581437550054;1
18cl01;1;30;0;0;1;motion;1;0.7369;NA;NA;NA;339967.1852;339967.5363;1;1;0.3911;18;1;NA;0.7369;1;18_1.0;2.68417993355888;1
18cl01;1;30;0;0;2;orientation;1;NA;5.8415;7.9236;14.8913;339968.5172;339968.8193;0;0;0.3562;18;1;5.8415;NA;1;18_1.0;0.735605443013252;1
18cl01;1;31;0;0;1;motion;-1;0.7546;NA;NA;NA;339971.3331;339971.6844;0;1;0.4208;18;1;NA;-0.7546;1;18_1.0;-1.25699047047062;-1
18cl01;1;31;0;0;2;orientation;-1;NA;3.7346;-2.5778;15.666;339972.6461;339972.9486;0;1;0.4668;18;1;-3.7346;NA;1;18_1.0;-0.776450046818519;-1
18cl01;1;32;0;0;1;motion;1;0.475;NA;NA;NA;339975.5328;339975.9288;1;1;0.2868;18;1;NA;0.475;1;18_1.0;1.99212996452413;1
18cl01;1;32;0;0;2;orientation;-1;NA;5.7591;-6.3983;14.3286;339976.7903;339977.0925;0;1;0.4835;18;1;-5.7591;NA;1;18_1.0;-1.09611633467729;-1
18cl01;1;33;0;0;1;motion;-1;0.4233;NA;NA;NA;339979.7682;339980.1191;0;1;0.3049;18;1;NA;-0.4233;1;18_1.0;-0.381556508113954;-1
18cl01;1;33;0;0;2;orientation;-1;NA;7.7558;-6.4675;15.1039;339980.9665;339981.2686;0;1;0.3401;18;1;-7.7558;NA;1;18_1.0;-1.41139303359931;-1
18cl01;1;34;0;0;1;motion;1;0.5507;NA;NA;NA;339983.6573;339984.0116;1;1;0.3798;18;1;NA;0.5507;1;18_1.0;2.19216120796029;1
18cl01;1;34;0;0;2;orientation;-1;NA;6.5983;-5.9255;13.9425;339984.9657;339985.2678;0;1;0.2441;18;1;-6.5983;NA;1;18_1.0;-1.22862507696975;-1
