"sigma_o" "bias_o" "lapse_o" "sigma_m" "bias_m" "lapse_m" "id"
"1" 6.33316704604897 1.18278784941422 0 0.378440881032465 -0.278903418905684 7.55217161096708e-21 18
"2" 3.93883880257165 -3.14546163711818 0.0107653752427855 0.107967284003154 -0.0393442700881191 0.0172438339329516 19
"3" 4.32538359710006 -0.95499615867542 0 0.130635085640172 -0.0203336574673581 0.0145134934036116 20
"4" 4.53348003603581 -0.158412687908311 0 0.481460309972153 -0.080537682637345 0.0178978333682251 21
"5" 4.52874277430425 2.28917012945583 0 0.301307217722439 -0.0599276535979929 0.00185779307111372 22
"6" 5.05381918187414 -1.97005479276318 0.00295773080318413 0.469257501792907 -0.138254699885957 0.0907808793951934 24
"7" 2.99393901310305 -0.0265673124813719 0 0.143375733264723 -0.081042590133254 0.0331690213825908 25
"8" 4.3560583688211 0.528470312459756 0.00402431768352862 0.377203595944865 -0.0693949977734682 0.0137800098240571 26
"9" 2.95749930938184 -0.16285160975698 0 0.185746183124386 0.103640899065745 0 27
"10" 4.24529593602948 1.67061986169929 0.00375255392365265 0.244559777471633 -0.0806039173956206 0.0740718538048575 28
