"sigma_o" "bias_o" "lapse_o" "sigma_m" "bias_m" "lapse_m" "id"
"1" 2.98218841791373 -0.111002141762877 0 0.125493961259669 -0.0515029810045734 0.00877622877608362 1
"2" 3.11140344276725 -0.492598510039934 0.0221094383564939 0.348327618976609 -0.227091213737449 0.0333449402761044 2
"3" 5.30401375359202 1.74778726563127 1.276389401619e-09 0.34627725161249 -0.0542805471010414 0 4
"4" 10.3847789576778 -0.0595910362038014 0 1.1957645823937 0.444112142417487 0.0236941326040302 6
"5" 3.28768190218726 -1.16860683136634 0.00532281871704137 0.269559145276313 -0.0581418387756258 0.0926836437339486 7
"6" 7.75417757716073 -3.83100930595745 1.86091948757663e-15 0.405242158006406 -0.00579053525389845 0.0549268049193324 8
"7" 5.24811156892813 1.6658306726852 0.00250904062086101 0.591834239809833 -0.335747651110388 6.58884619060995e-20 10
"8" 4.03816438278446 0.345546946641631 0.0190036262407745 0.410265819868181 -0.226157688015784 0.00667408261707984 11
"9" 4.30031997720578 -0.0876861207809699 0 0.227947398340825 -0.0864440773563481 0.0559142370916768 14
"10" 4.67189903904919 -2.85607402162552 0.0213383212744216 0.0809708061862573 -0.0888168365577322 0.0805139155024942 15
"11" 4.41696094845921 -0.00672039554091718 0 0.181809601529318 0.0666519188639988 0.0286983996596629 16
