id_sess,block,trial,dual,lines_first,decision,task,side,coherence,mu,meanTilt,sdTilt,tOn,tOff,rr,acc,tResp,id,seq,signed_mu,signed_coherence,session,id_session
01zj01,1,19,0,1,1,orientation,-1,NaN,10.5558,-9.4115,15.7394,1131759.1494,1131759.4514,0,1,0.156,1,01,-10.5558,NaN,1.0,1_1.0
01zj01,1,19,0,1,2,motion,1,0.861,NaN,NaN,NaN,1131760.1176,1131760.4657,1,1,0.214,1,01,NaN,0.861,1.0,1_1.0
01zj01,1,20,0,1,1,orientation,-1,NaN,5.139,-4.7696,15.2307,1131763.0513,1131763.3532,0,1,0.1422,1,01,-5.139,NaN,1.0,1_1.0
01zj01,1,20,0,1,2,motion,1,0.1814,NaN,NaN,NaN,1131763.9885,1131764.3344,1,1,0.2012,1,01,NaN,0.1814,1.0,1_1.0
01zj01,1,21,0,1,1,orientation,1,NaN,7.8689,7.8753,16.37,1131766.7829,1131767.0849,1,1,0.2028,1,01,7.8689,NaN,1.0,1_1.0
01zj01,1,21,0,1,2,motion,-1,0.9115,NaN,NaN,NaN,1131767.7962,1131768.1463,0,1,0.277,1,01,NaN,-0.9115,1.0,1_1.0
01zj01,1,22,0,1,1,orientation,-1,NaN,4.0846,-1.2734,14.3319,1131770.7305,1131771.0326,0,1,0.1911,1,01,-4.0846,NaN,1.0,1_1.0
01zj01,1,22,0,1,2,motion,1,0.9118,NaN,NaN,NaN,1131771.7171,1131772.0652,1,1,0.2784,1,01,NaN,0.9118,1.0,1_1.0
01zj01,1,23,0,1,1,orientation,-1,NaN,6.2166,-6.4224,14.7264,1131774.6738,1131774.9794,0,1,0.2923,1,01,-6.2166,NaN,1.0,1_1.0
01zj01,1,23,0,1,2,motion,1,0.8316,NaN,NaN,NaN,1131775.7858,1131776.2035,1,1,0.1721,1,01,NaN,0.8316,1.0,1_1.0
01zj01,1,24,0,1,1,orientation,1,NaN,11.4027,11.1922,15.0765,1131778.7835,1131779.0878,1,1,0.2159,1,01,11.4027,NaN,1.0,1_1.0
01zj01,1,24,0,1,2,motion,-1,0.3012,NaN,NaN,NaN,1131779.8487,1131780.2569,0,1,0.1987,1,01,NaN,-0.3012,1.0,1_1.0
01zj01,1,25,0,1,1,orientation,-1,NaN,11.757,-10.6671,14.1617,1131782.6604,1131782.9655,0,1,0.1622,1,01,-11.757,NaN,1.0,1_1.0
01zj01,1,25,0,1,2,motion,1,0.8596,NaN,NaN,NaN,1131783.623,1131784.0375,1,1,0.2262,1,01,NaN,0.8596,1.0,1_1.0
01zj01,1,26,0,1,1,orientation,1,NaN,1.5981,0.1193,15.241,1131786.5508,1131786.8548,0,0,0.3049,1,01,1.5981,NaN,1.0,1_1.0
01zj01,1,26,0,1,2,motion,-1,0.0793,NaN,NaN,NaN,1131787.671,1131788.0873,1,0,0.3681,1,01,NaN,-0.0793,1.0,1_1.0
01zj01,1,27,0,1,1,orientation,1,NaN,7.1323,6.2777,14.6921,1131790.6277,1131790.9318,1,1,0.2599,1,01,7.1323,NaN,1.0,1_1.0
01zj01,1,27,0,1,2,motion,1,0.2477,NaN,NaN,NaN,1131791.7534,1131792.1706,1,1,0.3011,1,01,NaN,0.2477,1.0,1_1.0
01zj01,1,28,0,1,1,orientation,-1,NaN,9.35,-11.2033,14.2323,1131794.3932,1131794.6982,0,1,0.2854,1,01,-9.35,NaN,1.0,1_1.0
01zj01,1,28,0,1,2,motion,1,0.5043,NaN,NaN,NaN,1131795.495,1131795.9035,1,1,0.2318,1,01,NaN,0.5043,1.0,1_1.0
01zj01,1,29,0,1,1,orientation,1,NaN,11.7966,11.0919,14.2731,1131798.3418,1131798.648,1,1,0.2556,1,01,11.7966,NaN,1.0,1_1.0
01zj01,1,29,0,1,2,motion,-1,0.3969,NaN,NaN,NaN,1131799.4177,1131799.8249,0,1,0.1667,1,01,NaN,-0.3969,1.0,1_1.0
01zj01,1,30,0,1,1,orientation,1,NaN,0.9735,1.1241,15.322,1131802.4716,1131802.7735,0,0,0.3702,1,01,0.9735,NaN,1.0,1_1.0
01zj01,1,30,0,1,2,motion,-1,0.7412,NaN,NaN,NaN,1131803.6524,1131803.9991,0,1,0.3122,1,01,NaN,-0.7412,1.0,1_1.0
01zj01,1,31,0,1,1,orientation,-1,NaN,4.0455,-2.5774,16.3672,1131806.6142,1131806.9162,0,1,0.1791,1,01,-4.0455,NaN,1.0,1_1.0
01zj01,1,31,0,1,2,motion,-1,0.0113,NaN,NaN,NaN,1131807.6042,1131807.9578,0,1,0.4498,1,01,NaN,-0.0113,1.0,1_1.0
01zj01,1,32,0,1,1,orientation,1,NaN,0.3665,0.4192,16.113,1131810.5254,1131810.8277,0,0,0.4439,1,01,0.3665,NaN,1.0,1_1.0
01zj01,1,32,0,1,2,motion,1,0.1879,NaN,NaN,NaN,1131811.7976,1131812.1465,1,1,0.7092,1,01,NaN,0.1879,1.0,1_1.0
01zj01,1,33,0,1,1,orientation,1,NaN,2.2425,3.453,16.2237,1131815.2385,1131815.5405,1,1,0.5152,1,01,2.2425,NaN,1.0,1_1.0
01zj01,1,33,0,1,2,motion,-1,0.7554,NaN,NaN,NaN,1131816.5649,1131816.9129,0,1,0.4547,1,01,NaN,-0.7554,1.0,1_1.0
01zj01,1,34,0,1,1,orientation,-1,NaN,1.6328,-0.6032,14.4582,1131819.4812,1131819.7852,0,1,0.6701,1,01,-1.6328,NaN,1.0,1_1.0
01zj01,1,34,0,1,2,motion,-1,0.1383,NaN,NaN,NaN,1131820.9686,1131821.3865,0,1,0.4452,1,01,NaN,-0.1383,1.0,1_1.0
01zj01,1,35,0,1,1,orientation,-1,NaN,1.2811,-1.0343,13.9107,1131823.7967,1131824.1014,1,0,0.5302,1,01,-1.2811,NaN,1.0,1_1.0
01zj01,1,35,0,1,2,motion,1,0.6852,NaN,NaN,NaN,1131825.1126,1131825.5172,1,1,0.3144,1,01,NaN,0.6852,1.0,1_1.0
01zj01,1,36,0,1,1,orientation,-1,NaN,5.0072,-4.9527,14.4491,1131827.9162,1131828.2182,0,1,0.3813,1,01,-5.0072,NaN,1.0,1_1.0
01zj01,1,36,0,1,2,motion,1,0.228,NaN,NaN,NaN,1131829.1081,1131829.4567,1,1,0.4389,1,01,NaN,0.228,1.0,1_1.0
01zj01,1,37,0,1,1,orientation,1,NaN,3.3123,2.6344,14.7149,1131832.0187,1131832.3208,1,1,0.5028,1,01,3.3123,NaN,1.0,1_1.0
01zj01,1,37,0,1,2,motion,-1,0.717,NaN,NaN,NaN,1131833.3161,1131833.6625,0,1,0.249,1,01,NaN,-0.717,1.0,1_1.0
01zj01,1,38,0,1,1,orientation,1,NaN,5.1887,3.6563,14.199,1131836.3165,1131836.6186,1,1,0.541,1,01,5.1887,NaN,1.0,1_1.0
01zj01,1,38,0,1,2,motion,1,0.4311,NaN,NaN,NaN,1131837.6842,1131838.0309,1,1,0.3288,1,01,NaN,0.4311,1.0,1_1.0
01zj01,1,39,0,1,1,orientation,1,NaN,9.0152,8.8442,16.2755,1131840.4808,1131840.7828,1,1,0.2968,1,01,9.0152,NaN,1.0,1_1.0
01zj01,1,39,0,1,2,motion,1,0.2126,NaN,NaN,NaN,1131841.5562,1131841.9061,1,1,0.3575,1,01,NaN,0.2126,1.0,1_1.0
01zj01,1,40,0,1,1,orientation,-1,NaN,11.3374,-12.1171,13.8386,1131844.8686,1131845.1706,0,1,0.2447,1,01,-11.3374,NaN,1.0,1_1.0
01zj01,1,40,0,1,2,motion,-1,0.8576,NaN,NaN,NaN,1131845.9403,1131846.2892,0,1,0.4065,1,01,NaN,-0.8576,1.0,1_1.0
01zj01,1,41,0,1,1,orientation,-1,NaN,3.8352,-3.7691,16.7368,1131848.7667,1131849.0687,0,1,0.4588,1,01,-3.8352,NaN,1.0,1_1.0
01zj01,1,41,0,1,2,motion,1,0.0654,NaN,NaN,NaN,1131850.0363,1131850.389,1,1,0.3706,1,01,NaN,0.0654,1.0,1_1.0
01zj01,1,42,0,1,1,orientation,-1,NaN,11.4901,-9.9735,15.0534,1131853.3807,1131853.6827,0,1,0.2128,1,01,-11.4901,NaN,1.0,1_1.0
01zj01,1,42,0,1,2,motion,-1,0.5195,NaN,NaN,NaN,1131854.4041,1131854.7554,0,1,0.3241,1,01,NaN,-0.5195,1.0,1_1.0
01zj01,1,43,0,1,1,orientation,-1,NaN,11.989,-10.1242,14.73,1131857.1168,1131857.4187,0,1,0.2048,1,01,-11.989,NaN,1.0,1_1.0
01zj01,1,43,0,1,2,motion,1,0.1216,NaN,NaN,NaN,1131858.1322,1131858.4778,1,1,0.5375,1,01,NaN,0.1216,1.0,1_1.0
01zj01,1,44,0,1,1,orientation,1,NaN,7.9153,6.2028,16.9966,1131861.3269,1131861.6288,1,1,0.3468,1,01,7.9153,NaN,1.0,1_1.0
01zj01,1,44,0,1,2,motion,-1,0.1424,NaN,NaN,NaN,1131862.4843,1131862.8384,1,0,0.7372,1,01,NaN,-0.1424,1.0,1_1.0
01zj01,1,45,0,1,1,orientation,1,NaN,3.3231,4.5053,15.7912,1131865.8957,1131866.2003,1,1,0.2712,1,01,3.3231,NaN,1.0,1_1.0
