id_sess;block;trial;dual;lines_first;decision;task;side;coherence;mu;meanTilt;sdTilt;tOn;tOff;rr;acc;tResp;id;seq;signed_mu;signed_coherence;session;id_session;s;sign_s
18cl01;1;1;0;0;1;motion;1;0.1424;NA;NA;NA;339842.5018;339842.9285;1;1;0.2631;18;1;NA;0.1424;1;18_1.0;1.11326085531849;1
18cl01;1;1;0;0;2;orientation;1;NA;7.9153;7.065;16.0774;339843.7444;339844.0493;1;1;0.3903;18;1;7.9153;NA;1;18_1.0;1.06305614578506;1
18cl01;1;2;0;0;1;motion;1;0.9115;NA;NA;NA;339846.8954;339847.2788;1;1;0.2819;18;1;NA;0.9115;1;18_1.0;3.14554657958204;1
18cl01;1;2;0;0;2;orientation;1;NA;7.8689;9.4107;16.1752;339848.104;339848.4062;1;1;0.3384;18;1;7.8689;NA;1;18_1.0;1.05572963763162;1
18cl01;1;3;0;0;1;motion;1;0.8464;NA;NA;NA;339851.0447;339851.4018;1;1;0.3508;18;1;NA;0.8464;1;18_1.0;2.97352499506825;1
18cl01;1;3;0;0;2;orientation;-1;NA;4.01;-2.2159;15.547;339852.3275;339852.6297;0;1;0.3551;18;1;-4.01;NA;1;18_1.0;-0.81993539909133;-1
18cl01;1;4;0;0;1;motion;-1;0.2128;NA;NA;NA;339855.343;339855.6951;1;0;0.4092;18;1;NA;-0.2128;1;18_1.0;0.174673039353837;1
18cl01;1;4;0;0;2;orientation;-1;NA;8.014;-8.7719;15.9918;339856.679;339856.9811;0;1;0.3075;18;1;-8.014;NA;1;18_1.0;-1.4521625250911;-1
18cl01;1;5;0;0;1;motion;1;0.6121;NA;NA;NA;339859.6917;339860.0418;1;1;0.3982;18;1;NA;0.6121;1;18_1.0;2.35440583605778;1
18cl01;1;5;0;0;2;orientation;-1;NA;4.5433;-4.4743;14.4707;339861.0296;339861.3318;0;1;0.5318;18;1;-4.5433;NA;1;18_1.0;-0.90414287319115;-1
18cl01;1;6;0;0;1;motion;1;0.3089;NA;NA;NA;339864.5148;339864.8718;1;1;0.4798;18;1;NA;0.3089;1;18_1.0;1.55322389405192;1
18cl01;1;6;0;0;2;orientation;-1;NA;1.2676;-1.9748;15.6656;339865.912;339866.2142;0;1;0.69;18;1;-1.2676;NA;1;18_1.0;-0.386913503401577;-1
18cl01;1;7;0;0;1;motion;1;0.9113;NA;NA;NA;339868.7215;339869.0728;1;1;0.4235;18;1;NA;0.9113;1;18_1.0;3.14501809545143;1
18cl01;1;7;0;0;2;orientation;-1;NA;6.5666;-5.2295;14.8707;339870.0714;339870.3736;0;1;0.354;18;1;-6.5666;NA;1;18_1.0;-1.22361968239079;-1
18cl01;1;8;0;0;1;motion;-1;0.2818;NA;NA;NA;339872.5615;339872.9173;1;0;0.4353;18;1;NA;-0.2818;1;18_1.0;-0.00765398570686401;-1
