"sigma_o" "bias_o" "lapse_o" "sigma_m" "bias_m" "lapse_m" "id"
"1" 6.33316704604897 1.18278784941422 0 0.378440881032465 -0.278903418905684 7.55217161096708e-21 18
"2" 3.93883880257165 -3.14546163711818 0.0107653752427855 0.107967284003154 -0.0393442700881191 0.0172438339329516 19
"3" 4.32538359710006 -0.95499615867542 0 0.130635085640172 -0.0203336574673581 0.0145134934036116 20
"4" 4.53348003603581 -0.158412687908311 0 0.481460309972153 -0.080537682637345 0.0178978333682251 21
"5" 4.52874277430425 2.28917012945583 0 0.301307217722439 -0.0599276535979929 0.00185779307111372 22
"6" 4.3560583688211 0.528470312459756 0.00402431768352862 0.377203595944865 -0.0693949977734682 0.0137800098240571 26
"7" 3.8488643815279 0.77659378094108 0.0159968385089671 0.475167425462609 0.13932852827434 0 31
"8" 3.44823718344337 -1.86256109369166 0.000669059470530264 0.322141210641414 0.126945466609465 0.0140140161899183 32
"9" 3.52999637709666 -0.0270765301228832 0.0688943307592041 0.208215665035714 0.177811891743641 0.0256712752224574 35
"10" 5.30764511799388 2.24456086898595 0.0356438871108513 0.467118160159617 0.043939817536088 0.000619148133687518 36
"11" 5.77489529157812 -0.124360949223431 0 0.235748791661465 -0.0137599754173652 0.0278528419309623 37
"12" 4.28700163606308 0.00740376649529364 0 0.158400869255534 -0.134696873908543 0.0672445830795032 41
"13" 3.06059141567971 0.0173421272137313 0.0056461644591486 0.081633184047223 -0.00110712730949954 0.128625675215965 43
"14" 3.7813161873242 0.104165948893221 0.0158748839835522 0.367316173067749 0.019738972339388 0.00244740697167903 44
