subject,task,id_sess,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",0.08383841038300162
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.6383453958494225
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",0.26609315970951286
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.024830920105543195
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",0.2738607312193729
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",0.048618756090053596
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",0.21837807757751543
sub20,task2,20py04,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.9715156355154538
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-2.386900729128821
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.5221770759866735
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-2.521015100832634
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-2.413959013479831
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-2.477131333282859
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-2.3812613163691942
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-2.5728777352096395
sub21,task2,21zf03,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.5139754987594296
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-2.588368533582426
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.296456111849814
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-2.7473544928035967
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-2.5151466410011656
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.153869754068204
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-2.5446817440170015
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-2.2595361792860684
sub21,task2,21zf04,clean_epochs_task2_ICA_sub21_zfy1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.312744317392643
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-3.0545287101365295
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.515643436573745
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.7744788474881528
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-2.8849392707002783
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",0.5432187282023226
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-3.085813470469911
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-4.391292786872507
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.029363975385177
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-1.2863258257201835
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-2.0641867356809493
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.63595645528187
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-1.2907356965285184
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.7811054083084077
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-1.0822074962356922
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-2.329615878043036
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-2.055339097602213
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.7504120866390003
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.959877837302526
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-1.1128202793281432
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.7613986279890655
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-1.0138766162229804
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.731923347720826
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-1.3107076055384685
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.9014062092632021
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-6.013077415944543
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-5.9183393527622865
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-1.9007075299134268
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-6.0241457397250295
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-6.013077415944543
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-1.9007075299134268
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-6.07904462567624
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-3.0935795429855957
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-4.03430492827651
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-3.859557728129291
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-3.2416035810312165
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-3.713162910535219
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-3.0721221103431846
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-3.949646846648719
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-4.057233158717369
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-6.128785334803865
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-6.75944645033386
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-5.542213816781629
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-6.243745668700264
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-6.336119510526026
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-6.120557788148224
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-3.9544024292928373
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-7.184453120188558
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-4.1924594072715395
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-4.030223889778399
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-4.3125003970737215
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-4.172557742696971
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-4.668741197728581
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-4.174621137966032
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-3.7187657293156255
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-4.140150299353494
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-1.7575555241167489
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-3.1479004627412497
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-1.8439672618629397
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-1.8103695089161642
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-1.8439672618629397
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-1.7493414806047534
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-3.1479004627412497
sub27,task2,27ly03,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-6.3633062078295115
sub27,task2,27ly03,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-6.426578367648231
sub27,task2,27ly03,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-6.9811872937373645
sub27,task2,27ly03,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-6.2535234574817835
sub27,task2,27ly03,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-6.768639686474173
sub27,task2,27ly03,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-6.321555119900449
sub27,task2,27ly03,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-7.185232996710028
