subject,task,id_sess,file,condition,component,tmin,tmax,roi,mean_amp_uV
sub20,task1,20py03,clean_epochs_response1_ICA_sub20_pyb1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.4746990843157507
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.43703999814274397
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",0.08650133887891907
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.35925655768318976
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.3003456712417155
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.4658199887355429
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.40600766046007347
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",0.08120562399986972
sub20,task1,20py04,clean_epochs_response1_ICA_sub20_pyb1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",0.09162622424574096
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.5268142217440899
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.546796219875031
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.7329093495662755
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.36124270451658735
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.7609190488955045
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.3227228339710615
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-0.6535485348001269
sub21,task1,21zf03,clean_epochs_response1_ICA_sub21_zfy1_sess3-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.4613943679349546
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.2913783458756162
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.8357534979213069
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.5772916712652575
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.2158672076771035
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.5857165608409635
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.010945873349576713
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-0.5263210893322371
sub21,task1,21zf04,clean_epochs_response1_ICA_sub21_zfy1_sess4-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-1.0291487532894754
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.26615589689583397
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-0.677028425903559
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.275298681114038
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.40356467072778096
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-0.12360243480595688
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.3831773956263301
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-0.7967545277980669
sub22,task1,22zz03,clean_epochs_response1_ICA_sub22_zzy1_sess1-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",-0.5173936233775486
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-0.1221210176568535
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",0.02266125033802653
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-0.007652264585690103
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.3109102779771161
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",0.05127420328425991
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.49863635455755695
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,error_left,N1,0.13,0.2,"O1,Oz,O2",-0.13205258564447356
sub22,task1,22zz04,clean_epochs_response1_ICA_sub22_zzy1_sess2-epo.fif,error_right,N1,0.13,0.2,"O1,Oz,O2",1.879227282128027
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,correct,N1,0.13,0.2,"O1,Oz,O2",-1.0035771564215614
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,error,N1,0.13,0.2,"O1,Oz,O2",-1.6424293684999822
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,left,N1,0.13,0.2,"O1,Oz,O2",-1.9092127219405552
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,right,N1,0.13,0.2,"O1,Oz,O2",-0.5188264081894757
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,correct_left,N1,0.13,0.2,"O1,Oz,O2",-1.8534828212155727
sub24,task1,24cz03,clean_epochs_response1_ICA_sub24_czy1_sess1-epo.fif,correct_right,N1,0.13,0.2,"O1,Oz,O2",-0.28646925175161475
