subject,task,id_sess,file,condition,n_trials
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct,116
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error,34
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,left,8
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,right,142
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_left,1
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,correct_right,115
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_left,7
sub22,task2,22zz03,clean_epochs_task2_ICA_sub22_zzy1_sess1-epo.fif,error_right,27
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct,119
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error,31
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,left,10
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,right,140
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_left,9
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,correct_right,110
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_left,1
sub22,task2,22zz04,clean_epochs_task2_ICA_sub22_zzy1_sess2-epo.fif,error_right,30
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct,122
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error,28
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,left,12
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,right,138
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct_left,8
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,correct_right,114
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error_left,4
sub24,task2,24cz03,clean_epochs_task2_ICA_sub24_czy1_sess1-epo.fif,error_right,24
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct,124
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error,26
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,left,1
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,right,149
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct_left,0
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,correct_right,124
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error_left,1
sub24,task2,24cz04,clean_epochs_task2_ICA_sub24_czy1_sess2-epo.fif,error_right,25
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct,239
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error,61
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,left,21
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,right,279
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct_left,8
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,correct_right,231
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error_left,13
sub25,task2,25cj03,clean_epochs_task2_ICA_sub25_cjb1_sess3-epo.fif,error_right,48
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct,262
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error,38
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,left,15
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,right,285
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct_left,10
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,correct_right,252
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error_left,5
sub25,task2,25cj04,clean_epochs_task2_ICA_sub25_cjb1_sess4-epo.fif,error_right,33
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct,277
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,error,23
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,left,16
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,right,284
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct_left,10
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,correct_right,267
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,error_left,6
sub26,task2,26pz03,clean_epochs_task2_ICA_sub26_pzq1_sess3-epo.fif,error_right,17
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,correct,288
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,error,12
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,left,25
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,right,275
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,correct_left,25
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,correct_right,263
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,error_left,0
sub26,task2,26pz04,clean_epochs_task2_ICA_sub26_pzq1_sess4-epo.fif,error_right,12
sub27,task2,27ly03,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,correct,257
sub27,task2,27ly03,clean_epochs_task2_ICA_sub27_lyj1_sess3-epo.fif,error,43
