subject,task,condition,component,roi,mean_amp_uV
sub25,task2,left,N1,"O1,Oz,O2",-4.70088577245546
sub25,task2,right,N1,"O1,Oz,O2",-4.7426746248657405
sub26,task2,correct,N1,"O1,Oz,O2",-2.9750074656941443
sub26,task2,correct_left,N1,"O1,Oz,O2",-3.25635422979576
sub26,task2,correct_right,N1,"O1,Oz,O2",-2.9619813092853926
sub26,task2,error,N1,"O1,Oz,O2",-3.5890621762598243
sub26,task2,error_left,N1,"O1,Oz,O2",-3.7187657293156255
sub26,task2,error_right,N1,"O1,Oz,O2",-3.644025381047372
sub26,task2,left,N1,"O1,Oz,O2",-3.0782338294683305
sub26,task2,right,N1,"O1,Oz,O2",-2.9914636258065674
sub27,task2,correct,N1,"O1,Oz,O2",-8.032829734900261
sub27,task2,correct_left,N1,"O1,Oz,O2",-8.09182761618724
sub27,task2,correct_right,N1,"O1,Oz,O2",-8.072325679152712
sub27,task2,error,N1,"O1,Oz,O2",-7.764021880383291
sub27,task2,error_left,N1,"O1,Oz,O2",-7.728854472409772
sub27,task2,error_right,N1,"O1,Oz,O2",-7.582590656732947
sub27,task2,left,N1,"O1,Oz,O2",-8.106941345527018
sub27,task2,right,N1,"O1,Oz,O2",-8.036963941292829
sub28,task2,correct,N1,"O1,Oz,O2",-2.8300101030945433
sub28,task2,correct_left,N1,"O1,Oz,O2",-2.6850609025468146
sub28,task2,correct_right,N1,"O1,Oz,O2",-2.8578097631447577
sub28,task2,error,N1,"O1,Oz,O2",-2.372414356302856
sub28,task2,error_left,N1,"O1,Oz,O2",-2.58360469577961
sub28,task2,error_right,N1,"O1,Oz,O2",-2.0388372290077403
sub28,task2,left,N1,"O1,Oz,O2",-2.676646055515447
sub28,task2,right,N1,"O1,Oz,O2",-2.780382614828525
