time,group_mean_auc,group_sem_auc,t_value_vs_0.5,p_value_uncorrected,significant_uncorrected_p_lt_threshold,significant_after_min_duration_filter
-0.5,0.49847768519112834,0.007540402777208677,-0.20188773117968573,0.8425490275216003,0,0
-0.49,0.5071733824075882,0.01008057637813282,0.7116043903153225,0.48695626054289687,0,0
-0.48,0.5046315785980633,0.008548731343427273,0.5417854897995243,0.5954313356144934,0,0
-0.47,0.5040002852967337,0.0070813025830586684,0.5649081153944729,0.5799712364540784,0,0
-0.46,0.5052794778359949,0.006237073858233254,0.846467102361749,0.4097744145155112,0,0
-0.45,0.5077645119622124,0.00788356267323718,0.9848988692093569,0.33933404007255674,0,0
-0.44,0.5133530247550692,0.009472117232422915,1.4097191184840874,0.17776438837300723,0,0
-0.43,0.5137819329782158,0.011312461795913711,1.2182965323422486,0.24077171147113124,0,0
-0.42,0.521050423490206,0.007040356828283286,2.9899654241444096,0.008658823540452524,1,0
-0.41000000000000003,0.5157960465528677,0.007920296391658142,1.9943756864332127,0.06343810997128263,0,0
-0.4,0.5059808425987201,0.0074441857199161535,0.8034246892469361,0.43350357822235563,0,0
-0.39,0.4991090411587057,0.007239514093390103,-0.12306887310403634,0.9035852251972704,0,0
-0.38,0.49879704413216525,0.005461862856468142,-0.22024644328265566,0.8284648785681333,0,0
-0.37,0.5049536056279236,0.009087559062782925,0.5450974891828223,0.5932042751001128,0,0
-0.36,0.5121573948500967,0.009572919774914196,1.2699777221527664,0.2222520253292339,0,0
-0.35,0.5084703789390871,0.008792478962490973,0.9633664152307923,0.3496988688880118,0,0
-0.33999999999999997,0.500201403574251,0.006604598479193282,0.03049444638996812,0.9760498713334482,0,0
-0.32999999999999996,0.5001492297468306,0.010056705853617339,0.014838829831832932,0.9883442203566759,0,0
-0.32,0.49694667936736536,0.00716419659291186,-0.42619163126477344,0.6756465344856165,0,0
-0.31,0.5016267152801392,0.008645433391134685,0.18815890500149288,0.8531177815129182,0,0
-0.3,0.49371833616622707,0.00984208731971797,-0.6382450825434189,0.532343789258305,0,0
-0.29000000000000004,0.4989020041627691,0.010346466295153013,-0.10612278684417013,0.9168040846183261,0,0
-0.28,0.5076415041902489,0.007832002477029495,0.9756769373682765,0.343746399473969,0,0
-0.27,0.4963576205763406,0.006242155070464892,-0.5835131268836203,0.5676831120777304,0,0
-0.26,0.5068097836743336,0.00846668074228359,0.8043038212513139,0.43301034238060154,0,0
-0.25,0.5046433984087525,0.007834500631205341,0.5926859448140869,0.5616753329260394,0,0
