time,group_mean_auc,group_sem_auc,t_value_vs_0.5,p_value_uncorrected,significant_uncorrected_p_lt_threshold,significant_after_min_duration_filter
-0.42,0.4916167989088585,0.005719620797221825,-1.4656917632045534,0.1621081966050515,0,0
-0.41,0.5041886701939264,0.009586465489589878,0.43693582358117194,0.6679974743841506,0,0
-0.39999999999999997,0.4994187878007641,0.011237626333296537,-0.051720192681064675,0.9593918627450677,0,0
-0.39,0.5005658766846344,0.010594903259177798,0.05341027386391482,0.9580662133623117,0,0
-0.38,0.5069489261144177,0.01009866720754082,0.6881032884447168,0.5012429770486709,0,0
-0.37,0.5170502820378015,0.00987068016793062,1.7273664780667322,0.10335179812948124,0,0
-0.36,0.4994647683462298,0.010590138991168565,-0.05054056931797777,0.9603171973916607,0,0
-0.35,0.5100366832116833,0.006243815909927523,1.6074598220817464,0.12750548046246357,0,0
-0.33999999999999997,0.5111229823216541,0.00900958324941883,1.2345723452160335,0.23481471727796563,0,0
-0.32999999999999996,0.5110913909142942,0.0063259863803702045,1.7533061640333707,0.0986833342842334,0,0
-0.31999999999999995,0.5096559787095343,0.004967247176842767,1.9439295782481503,0.06970462647495414,0,0
-0.31,0.5169645695650457,0.0074666217182044895,2.2720542442486504,0.037232379152578536,1,0
-0.3,0.5080847254020554,0.008175156736332307,0.9889382751678625,0.3374139194642606,0,0
-0.29,0.492528904308813,0.009707539059638188,-0.7696178861901417,0.45273981789330164,0,0
-0.27999999999999997,0.510992437453668,0.0071333721377018775,1.5409875219561078,0.14286330977495548,0,0
-0.27,0.5125924965310376,0.007102535021613295,1.7729580343804137,0.0952702796743188,0,0
-0.26,0.49710970881653344,0.007833591639397586,-0.36896117598604267,0.7169936253010263,0,0
-0.24999999999999997,0.4958905205411509,0.008540646288121316,-0.4811672700419325,0.6369118093605958,0,0
-0.24,0.5070242442618611,0.010126169867857285,0.6936723710469853,0.49783556527129713,0,0
-0.22999999999999998,0.5091721015331803,0.009159105715691526,1.0014188958935668,0.3315297039005016,0,0
-0.21999999999999997,0.5055609251345126,0.008777018375944265,0.6335779300353006,0.5353091052681529,0,0
-0.21,0.506653969424728,0.007077557281914571,0.9401505575562042,0.36111844639463264,0,0
-0.19999999999999998,0.5003155574408653,0.008085127700484496,0.03902937004277632,0.9693498210547533,0,0
-0.18999999999999997,0.5053551950147507,0.007676805387844997,0.6975811869908519,0.4954520685554039,0,0
-0.18,0.5131146628619631,0.007753663900606364,1.6914149271981527,0.11013935793221973,0,0
-0.16999999999999998,0.49670522837958087,0.008577749389326886,-0.38410677100437907,0.7059560278672485,0,0
-0.15999999999999998,0.4992790821483651,0.008959352127491365,-0.08046539988341492,0.9368650084940253,0,0
-0.14999999999999997,0.5071155785204897,0.00868527347263995,0.8192693693416758,0.4246686392610044,0,0
-0.13999999999999996,0.5152601289179939,0.009098938712999301,1.6771328392609495,0.11294104739928237,0,0
-0.13,0.5050467744336216,0.007991544246508284,0.6315142953536956,0.5366231578231729,0,0
-0.12,0.5006579842048295,0.008498828371669123,0.07742057799671959,0.9392488795685383,0,0
-0.10999999999999999,0.5017521941674496,0.005437095075999812,0.32226660430936893,0.7514232649926514,0,0
-0.09999999999999998,0.5136050257566918,0.008624197849246493,1.5775410066549487,0.13423523111983104,0,0
-0.08999999999999997,0.5105385903347436,0.008927482273781435,1.1804661170477715,0.25506733251060015,0,0
-0.07999999999999996,0.5038910771407652,0.008712970192760992,0.44658446599507784,0.6611603959753407,0,0
-0.07,0.5111362244944985,0.007234381020788712,1.5393472451198553,0.14326118119487533,0,0
-0.06,0.510778028646695,0.008016877783489437,1.3444172329646906,0.1975653979732072,0,0
