time,auc_mean,auc_sem,null_mean,null_std,z_value_vs_null,p_value_uncorrected,significant_uncorrected_p_lt_threshold,significant_after_min_duration_filter
-0.5,0.5306409887898822,0.016510465832513352,0.49451739005461337,0.03362919224750646,1.0741738448370646,0.1568627450980392,0,0
-0.49,0.5450704225352114,0.009880826371723505,0.5014343202069561,0.03159779872425409,1.3809855144991723,0.11764705882352941,0,0
-0.48,0.5167002012072435,0.013746821197072453,0.4987013509629204,0.03462656992998644,0.5197988215614784,0.29411764705882354,0,0
-0.47,0.5334866340902559,0.010065562104866772,0.49970508766887045,0.03650920061851212,0.925288580661401,0.19607843137254902,0,0
-0.46,0.5501293475136533,0.015006981995115727,0.493277953434895,0.03523100449961261,1.6136750821107981,0.0784313725490196,0,0
-0.45,0.5547283702213279,0.013179522854910792,0.49276171313595873,0.03710966589249266,1.6698252488957368,0.09803921568627451,0,0
-0.44,0.546881287726358,0.01613509811155238,0.4992492095429721,0.03642747863256861,1.3075864696493067,0.0784313725490196,0,0
-0.43,0.5104340327680368,0.010662980962154775,0.5057677493532623,0.0343379955009741,0.1358927143735607,0.49019607843137253,0,0
-0.42,0.5598160390916929,0.010473563220371514,0.5021603909169301,0.034237927582282855,1.68397015374838,0.0392156862745098,1,0
-0.41000000000000003,0.5583213567116987,0.01554978137815856,0.5036343776947397,0.03409469277685363,1.60397336250776,0.0784313725490196,0,0
-0.4,0.5349525725783271,0.012096170609649081,0.49340327680367935,0.02939127955983928,1.4136606638732856,0.11764705882352941,0,0
-0.39,0.5531187122736417,0.013602206417403668,0.4935217016384019,0.03208598124525468,1.8574158658169087,0.0196078431372549,1,0
-0.38,0.5376832423110088,0.010163060499470649,0.4957953434895083,0.035053851511824864,1.1949585285191926,0.11764705882352941,0,0
-0.37,0.5652486346651336,0.0189444442901793,0.49813452141419956,0.031969905786452646,2.099290304426668,0.0392156862745098,1,0
-0.36,0.5371658522563955,0.01698441633279311,0.5011210117849957,0.03391513969487854,1.0627949875979086,0.1568627450980392,0,0
-0.35,0.534118999712561,0.015717229726015775,0.49336016096579477,0.026878692968219077,1.5163995806998078,0.09803921568627451,0,0
-0.33999999999999997,0.5501006036217304,0.008562785623708508,0.49586892785283126,0.03087220927086003,1.7566503029664249,0.058823529411764705,0,0
-0.32999999999999996,0.535958608795631,0.012002363827058514,0.49461396953147435,0.0356152384879063,1.1608693643367236,0.17647058823529413,0,0
-0.32,0.575883874676631,0.012617317176159562,0.5003058350100601,0.0316604706309531,2.3871420152763463,0.0196078431372549,1,1
-0.31,0.56841046277666,0.016157445366125397,0.5014452428858869,0.03576070746562553,1.8725921447483234,0.0196078431372549,1,1
-0.3,0.5542397240586375,0.015184031758955907,0.5095912618568554,0.031116092277908857,1.4348994019882328,0.09803921568627451,0,0
-0.29000000000000004,0.558953722334004,0.0156565082490417,0.5084024144869216,0.03318763716481473,1.5231969542163275,0.058823529411764705,0,0
-0.28,0.5391204369071573,0.011940710749652713,0.49777867203219317,0.030002658166582832,1.3779367363192787,0.0784313725490196,0,0
-0.27,0.558120149468238,0.017043404374536063,0.503066398390342,0.03051886062463676,1.8039255054447585,0.058823529411764705,0,0
-0.26,0.536763437769474,0.015174076931244411,0.4959005461339466,0.029197541675946643,1.3995319225519203,0.1568627450980392,0,0
-0.25,0.5204081632653061,0.008379253977805085,0.5032808278240875,0.03627252179650205,0.47218485489669965,0.3333333333333333,0,0
-0.24,0.5200632365622304,0.012599318525371762,0.50301868352975,0.032145532623108174,0.5302308483209812,0.35294117647058826,0,0
-0.22999999999999998,0.5477436044840471,0.016528457131649445,0.5027726358148894,0.03171504646704311,1.4179695027686494,0.09803921568627451,0,0
-0.21999999999999997,0.5509916642713423,0.013211108133182591,0.5053181948835872,0.029518993968320268,1.547256977550514,0.0784313725490196,0,0
-0.21000000000000002,0.5331129634952573,0.017310466498862424,0.5000011497556769,0.03373298654384641,0.9815855971288335,0.23529411764705882,0,0
-0.2,0.5722334004024145,0.009073422786191108,0.49611325093417663,0.03174436222733686,2.397910813992872,0.0196078431372549,1,0
