time,group_mean_auc,group_sem_auc,t_value_vs_0.5,p_value,p_value_two_sided,significant_uncorrected_p_lt_threshold,significant_after_min_duration_filter
-0.42,0.5308865471232994,0.011345997953932407,2.722241555895438,0.00753453885936186,0.01506907771872372,1,1
-0.41,0.5606840946607704,0.012430256678517552,4.881966336676457,8.308637948489782e-05,0.00016617275896979564,1,1
-0.39999999999999997,0.5522950336739346,0.009549657310018589,5.476116260116649,2.5387132875708276e-05,5.077426575141655e-05,1,1
-0.39,0.5486826606682638,0.00863708005341596,5.636472090936544,1.857350542590606e-05,3.714701085181212e-05,1,1
-0.38,0.5491135145159131,0.009385893613976475,5.232694566533168,4.1053204303775945e-05,8.210640860755189e-05,1,1
-0.37,0.537032306718598,0.010875275389811524,3.405183353176662,0.0018101752077462625,0.003620350415492525,1,1
-0.36,0.5375509302324516,0.009039462932201009,4.1541107601299,0.0003734382706571381,0.0007468765413142762,1,1
-0.35,0.5358698374040917,0.009689876645979298,3.701784730043538,0.0009675296781133171,0.0019350593562266342,1,1
-0.33999999999999997,0.527716488642856,0.00784530962195035,3.532873777895038,0.0013823738657960005,0.002764747731592001,1,1
-0.32999999999999996,0.5292437673162294,0.006375665456143594,4.586778826051804,0.0001519634494803155,0.000303926898960631,1,1
-0.31999999999999995,0.5216124601801893,0.007586209072644577,2.8489143883632884,0.005803511193049267,0.011607022386098533,1,1
-0.31,0.5152435052982154,0.009622818945920809,1.5840997719984364,0.06636735363090385,0.1327347072618077,0,0
-0.3,0.5196358299365956,0.010932909717028799,1.7960296430520597,0.04569790918445593,0.09139581836891186,1,1
-0.29,0.5176958630921926,0.009919334261695199,1.7839768905184998,0.04670111226330021,0.09340222452660042,1,1
-0.27999999999999997,0.5162517928996883,0.007724320431569074,2.103977048034886,0.025773708515254387,0.051547417030508774,1,1
-0.27,0.5171467125829512,0.009000690313846616,1.9050441671760199,0.037454563680119325,0.07490912736023865,1,1
-0.26,0.5132815036847794,0.008522846796047335,1.5583412447281144,0.06935528734333592,0.13871057468667183,0,0
-0.24999999999999997,0.5154001939337878,0.007147782564907721,2.1545414670831686,0.023390640389100954,0.04678128077820191,1,1
-0.24,0.5272288223885333,0.008052342804416156,3.381478291460737,0.001903014832287752,0.003806029664575504,1,1
-0.22999999999999998,0.5273033964598809,0.008466616607468586,3.224829672315146,0.002647015761633173,0.005294031523266346,1,1
-0.21999999999999997,0.5186045842478088,0.006334492961328977,2.937028166482564,0.004833961119695668,0.009667922239391336,1,1
-0.21,0.5260180407103608,0.009704684898387156,2.6809773818297633,0.008199068840246928,0.016398137680493856,1,1
-0.19999999999999998,0.5308847934133443,0.009828221318075382,3.142460106849965,0.003146990825720408,0.006293981651440816,1,1
-0.18999999999999997,0.5300145568944613,0.008591926107750518,3.4933443931025057,0.00150275019316023,0.00300550038632046,1,1
-0.18,0.5358994765231289,0.010408562520467077,3.4490330871854042,0.0016501509004204808,0.0033003018008409615,1,1
-0.16999999999999998,0.53644261489472,0.008667832921488358,4.204351332658407,0.0003361750306845789,0.0006723500613691577,1,1
-0.15999999999999998,0.5424498413861369,0.007517815579397101,5.646565938977351,1.8213746579879387e-05,3.642749315975877e-05,1,1
-0.14999999999999997,0.5323458690119174,0.007234098215954936,4.471306311625404,0.0001928883513055334,0.0003857767026110668,1,1
-0.13999999999999996,0.5347488539531154,0.008187488938663513,4.2441405678146396,0.00030935731440823324,0.0006187146288164665,1,1
-0.13,0.5336937230803901,0.01127613636418941,2.98805565950711,0.004346684847280319,0.008693369694560638,1,1
-0.12,0.5232217820032982,0.010218454122338185,2.2725337634519382,0.018598711558202034,0.03719742311640407,1,1
-0.10999999999999999,0.5188833917699515,0.00901410372693133,2.0948718077798216,0.026225788633683682,0.052451577267367364,1,1
-0.09999999999999998,0.5347171452579216,0.008273462822843417,4.196204902506591,0.000341950522719887,0.000683901045439774,1,1
-0.08999999999999997,0.542293306280881,0.0061801224611802465,6.843441460349973,1.9744186829363817e-06,3.948837365872763e-06,1,1
-0.07999999999999996,0.534259456927394,0.006217713397898335,5.509976857243708,2.3759386722869823e-05,4.7518773445739646e-05,1,1
-0.07,0.5281074775476896,0.005683499061768808,4.9454530109383095,7.305576191665195e-05,0.0001461115238333039,1,1
-0.06,0.5255304910858624,0.005842958747369968,4.36944571914942,0.00023827553556743397,0.00047655107113486793,1,1
-0.04999999999999999,0.5320434431470195,0.007471019162846527,4.2890323861531385,0.0002816972580796821,0.0005633945161593642,1,1
