time,group_mean_auc,group_sem_auc,t_value_vs_0.5,p_value,p_value_two_sided,significant_uncorrected_p_lt_threshold,significant_after_min_duration_filter
-0.5,0.5371894474703535,0.00895460054455986,4.153110715022008,0.00037422109360572717,0.0007484421872114543,1,1
-0.49,0.5600388982607961,0.009983744809959396,6.013665153069984,9.02505738196053e-06,1.805011476392106e-05,1,1
-0.48,0.5615149461198427,0.00815259226649783,7.545446173314895,5.872435359700063e-07,1.1744870719400125e-06,1,1
-0.47,0.5580844589088089,0.009874017380028069,5.882555870956321,1.1573493316817955e-05,2.314698663363591e-05,1,1
-0.46,0.5502755562198169,0.009033577469417705,5.565409317628583,2.1323613743616996e-05,4.264722748723399e-05,1,1
-0.45,0.5472302675499442,0.011378031865945597,4.151005033770752,0.0003758748402024888,0.0007517496804049776,1,1
-0.44,0.557888616280929,0.009582429214217267,6.041121200774515,8.569548599428013e-06,1.7139097198856026e-05,1,1
-0.43,0.5520331151073254,0.00792678733116068,6.5642123263204155,3.2581422548570635e-06,6.516284509714127e-06,1,1
-0.42,0.5542652902617119,0.010335809909240557,5.250221389346269,3.964709547599348e-05,7.929419095198696e-05,1,1
-0.41000000000000003,0.5473208796143769,0.009865890491254494,4.796412412678204,9.888412074819323e-05,0.00019776824149638647,1,1
-0.4,0.5346672301917241,0.010832116856771407,3.2004113923542885,0.0027864430975251078,0.0055728861950502155,1,1
-0.39,0.5476771341147353,0.009577866723849466,4.97784480504582,6.842595240493792e-05,0.00013685190480987585,1,1
-0.38,0.5316536099334241,0.008605984092174042,3.678093009979968,0.0010171728486117577,0.0020343456972235154,1,1
-0.37,0.5367096332152477,0.005925989477060012,6.1946841717073,6.426564889571985e-06,1.285312977914397e-05,1,1
-0.36,0.5312047024941828,0.007270329747601105,4.2920615126816,0.0002799239818631592,0.0005598479637263184,1,1
-0.35,0.5352373100406989,0.007734169863270164,4.5560558745990365,0.00016189869337883173,0.00032379738675766346,1,1
-0.33999999999999997,0.5223486208305423,0.007458143366126036,2.9965394513662758,0.004270463756456988,0.008540927512913975,1,1
-0.32999999999999996,0.5266796250337293,0.009162210277054782,2.91192018377312,0.005092891879866853,0.010185783759733707,1,1
-0.32,0.5229247547750561,0.009854770202615527,2.3262596999950005,0.016734584189145547,0.03346916837829109,1,1
-0.31,0.5376174568898614,0.007552803588942632,4.980595145481298,6.804699458295421e-05,0.00013609398916590842,1,1
-0.3,0.5249800433943187,0.0068890787337684434,3.6260354046867143,0.0011354073187774866,0.002270814637554973,1,1
-0.29000000000000004,0.5294218436596968,0.009177842274508968,3.2057473619278256,0.0027553689996135315,0.005510737999227063,1,1
-0.28,0.5215012253510474,0.011113096623227023,1.934764546733855,0.035450583645839695,0.07090116729167939,1,1
-0.27,0.5294401716446716,0.00884160654880797,3.3297310259345063,0.0021224275804525698,0.0042448551609051395,1,1
-0.26,0.5278151626773061,0.009357257176269337,2.9725764883161827,0.004489195145465163,0.008978390290930326,1,1
-0.25,0.5283311474006117,0.01066452605329679,2.656578197570583,0.008618138749853163,0.017236277499706326,1,1
-0.24,0.5342030331301304,0.00928896000064856,3.6821165262572264,0.0010085654861110543,0.0020171309722221086,1,1
-0.22999999999999998,0.5247388590379748,0.01050702944238245,2.35450554066072,0.01582612798626962,0.03165225597253924,1,1
-0.21999999999999997,0.5329505894736758,0.009430465794310557,3.49405747206623,0.0015004887253716058,0.0030009774507432116,1,1
-0.21000000000000002,0.5374759338633807,0.010582030684644785,3.5414690223645526,0.00135750067910562,0.00271500135821124,1,1
-0.2,0.5471389452002603,0.00913855130447664,5.1582514153166334,4.762268150229356e-05,9.524536300458712e-05,1,1
-0.19,0.5504801885187007,0.008936460527211185,5.648789961639787,1.813545339858144e-05,3.627090679716288e-05,1,1
-0.18,0.5606672386984259,0.009392726515307337,6.458959344718115,3.946117277595631e-06,7.892234555191262e-06,1,1
-0.16999999999999998,0.5573252530936533,0.010325044066242996,5.552058928355978,2.1885597909664387e-05,4.3771195819328775e-05,1,1
-0.15999999999999998,0.5613873138840607,0.006793442332755989,9.036260393065984,5.517537332053753e-08,1.1035074664107506e-07,1,1
-0.15000000000000002,0.5605142311790209,0.009248081532635016,6.5434361673257015,3.383302583372101e-06,6.766605166744202e-06,1,1
-0.14,0.5606015660548868,0.010567653383214894,5.7346284796909694,1.5365114142237277e-05,3.0730228284474554e-05,1,1
-0.13,0.5616816200009092,0.011100491706256994,5.556656554784974,2.1690351946386115e-05,4.338070389277223e-05,1,1
-0.12,0.5651276616402117,0.009191828695776045,7.085386792525847,1.2902908384186513e-06,2.5805816768373026e-06,1,1
