subject,task,session,file,condition,n_trials
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct,276
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error,24
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,left,124
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,right,176
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct_left,117
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,correct_right,159
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error_left,7
sub18,task1,3,clean_epochs_task1_ICA_sub18_clr1_sess3-epo.fif,error_right,17
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct,226
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error,74
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,left,146
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,right,154
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct_left,113
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,correct_right,113
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error_left,33
sub18,task1,4,clean_epochs_task1_ICA_sub18_clr1_sess4-epo.fif,error_right,41
sub18,task1,1,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,correct,116
sub18,task1,1,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,error,34
sub18,task1,1,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,left,50
sub18,task1,1,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,right,100
sub18,task1,1,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,correct_left,47
sub18,task1,1,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,correct_right,69
sub18,task1,1,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,error_left,3
sub18,task1,1,clean_epochs_task1_ICA_sub18_clr1_sess1-epo.fif,error_right,31
sub18,task1,2,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,correct,133
sub18,task1,2,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,error,17
sub18,task1,2,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,left,81
sub18,task1,2,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,right,69
sub18,task1,2,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,correct_left,73
sub18,task1,2,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,correct_right,60
sub18,task1,2,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,error_left,8
sub18,task1,2,clean_epochs_task1_ICA_sub18_clr1_sess2-epo.fif,error_right,9
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess3-epo.fif,correct,235
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess3-epo.fif,error,65
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess3-epo.fif,left,100
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess3-epo.fif,right,200
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess3-epo.fif,correct_left,91
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess3-epo.fif,correct_right,144
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess3-epo.fif,error_left,9
sub19,task1,3,clean_epochs_task1_ICA_sub19_llx1_sess3-epo.fif,error_right,56
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess4-epo.fif,correct,257
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess4-epo.fif,error,43
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess4-epo.fif,left,142
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess4-epo.fif,right,158
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess4-epo.fif,correct_left,127
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess4-epo.fif,correct_right,130
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess4-epo.fif,error_left,15
sub19,task1,4,clean_epochs_task1_ICA_sub19_llx1_sess4-epo.fif,error_right,28
sub19,task1,1,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,correct,117
sub19,task1,1,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,error,33
sub19,task1,1,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,left,47
sub19,task1,1,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,right,103
sub19,task1,1,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,correct_left,46
sub19,task1,1,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,correct_right,71
sub19,task1,1,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,error_left,1
sub19,task1,1,clean_epochs_task1_ICA_sub19_llx1_sess1-epo.fif,error_right,32
sub19,task1,2,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,correct,138
sub19,task1,2,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,error,12
sub19,task1,2,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,left,78
sub19,task1,2,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,right,72
sub19,task1,2,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,correct_left,76
sub19,task1,2,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,correct_right,62
sub19,task1,2,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,error_left,2
sub19,task1,2,clean_epochs_task1_ICA_sub19_llx1_sess2-epo.fif,error_right,10
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess3-epo.fif,correct,260
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess3-epo.fif,error,40
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess3-epo.fif,left,148
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess3-epo.fif,right,152
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess3-epo.fif,correct_left,134
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess3-epo.fif,correct_right,126
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess3-epo.fif,error_left,14
sub20,task1,3,clean_epochs_task1_ICA_sub20_pyb1_sess3-epo.fif,error_right,26
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess4-epo.fif,correct,239
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess4-epo.fif,error,61
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess4-epo.fif,left,154
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess4-epo.fif,right,146
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess4-epo.fif,correct_left,124
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess4-epo.fif,correct_right,115
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess4-epo.fif,error_left,30
sub20,task1,4,clean_epochs_task1_ICA_sub20_pyb1_sess4-epo.fif,error_right,31
sub20,task1,1,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,correct,133
sub20,task1,1,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,error,17
sub20,task1,1,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,left,75
sub20,task1,1,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,right,75
sub20,task1,1,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,correct_left,68
sub20,task1,1,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,correct_right,65
sub20,task1,1,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,error_left,7
sub20,task1,1,clean_epochs_task1_ICA_sub20_pyb1_sess1-epo.fif,error_right,10
sub20,task1,2,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,correct,128
sub20,task1,2,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,error,22
sub20,task1,2,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,left,62
sub20,task1,2,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,right,88
sub20,task1,2,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,correct_left,58
sub20,task1,2,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,correct_right,70
sub20,task1,2,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,error_left,4
sub20,task1,2,clean_epochs_task1_ICA_sub20_pyb1_sess2-epo.fif,error_right,18
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess3-epo.fif,correct,219
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess3-epo.fif,error,81
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess3-epo.fif,left,138
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess3-epo.fif,right,162
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess3-epo.fif,correct_left,102
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess3-epo.fif,correct_right,117
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess3-epo.fif,error_left,36
sub21,task1,3,clean_epochs_task1_ICA_sub21_zfy1_sess3-epo.fif,error_right,45
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess4-epo.fif,correct,248
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess4-epo.fif,error,52
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess4-epo.fif,left,141
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess4-epo.fif,right,159
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess4-epo.fif,correct_left,121
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess4-epo.fif,correct_right,127
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess4-epo.fif,error_left,20
sub21,task1,4,clean_epochs_task1_ICA_sub21_zfy1_sess4-epo.fif,error_right,32
sub21,task1,1,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,correct,133
sub21,task1,1,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,error,17
sub21,task1,1,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,left,75
sub21,task1,1,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,right,75
sub21,task1,1,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,correct_left,68
sub21,task1,1,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,correct_right,65
sub21,task1,1,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,error_left,7
sub21,task1,1,clean_epochs_task1_ICA_sub21_zfy1_sess1-epo.fif,error_right,10
sub21,task1,2,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,correct,123
sub21,task1,2,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,error,27
sub21,task1,2,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,left,73
sub21,task1,2,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,right,77
sub21,task1,2,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,correct_left,66
sub21,task1,2,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,correct_right,57
sub21,task1,2,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,error_left,7
sub21,task1,2,clean_epochs_task1_ICA_sub21_zfy1_sess2-epo.fif,error_right,20
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,correct,125
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,error,25
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,left,73
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,right,77
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,correct_left,63
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,correct_right,62
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,error_left,10
sub22,task1,1,clean_epochs_task1_ICA_sub22_zzy1_sess1-epo.fif,error_right,15
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,correct,137
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,error,13
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,left,91
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,right,59
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,correct_left,83
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,correct_right,54
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,error_left,8
sub22,task1,2,clean_epochs_task1_ICA_sub22_zzy1_sess2-epo.fif,error_right,5
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,correct,253
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,error,47
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,left,131
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,right,169
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,correct_left,111
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,correct_right,142
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,error_left,20
sub22,task1,3,clean_epochs_task1_ICA_sub22_zzy1_sess3-epo.fif,error_right,27
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct,221
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error,79
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,left,210
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,right,90
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct_left,148
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,correct_right,73
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error_left,62
sub22,task1,4,clean_epochs_task1_ICA_sub22_zzy1_sess4-epo.fif,error_right,17
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,correct,98
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,error,52
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,left,72
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,right,78
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,correct_left,49
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,correct_right,49
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,error_left,23
sub24,task1,1,clean_epochs_task1_ICA_sub24_czy1_sess1-epo.fif,error_right,29
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,correct,123
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,error,27
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,left,66
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,right,84
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,correct_left,59
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,correct_right,64
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,error_left,7
sub24,task1,2,clean_epochs_task1_ICA_sub24_czy1_sess2-epo.fif,error_right,20
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,correct,242
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,error,58
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,left,123
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,right,177
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,correct_left,106
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,correct_right,136
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,error_left,17
sub24,task1,3,clean_epochs_task1_ICA_sub24_czy1_sess3-epo.fif,error_right,41
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess3-epo.fif,correct,244
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess3-epo.fif,error,56
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess3-epo.fif,left,147
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess3-epo.fif,right,153
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess3-epo.fif,correct_left,123
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess3-epo.fif,correct_right,121
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess3-epo.fif,error_left,24
sub25,task1,3,clean_epochs_task1_ICA_sub25_cjb1_sess3-epo.fif,error_right,32
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess4-epo.fif,correct,257
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess4-epo.fif,error,43
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess4-epo.fif,left,141
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess4-epo.fif,right,159
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess4-epo.fif,correct_left,130
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess4-epo.fif,correct_right,127
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess4-epo.fif,error_left,11
sub25,task1,4,clean_epochs_task1_ICA_sub25_cjb1_sess4-epo.fif,error_right,32
sub25,task1,1,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,correct,132
sub25,task1,1,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,error,18
sub25,task1,1,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,left,84
sub25,task1,1,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,right,66
sub25,task1,1,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,correct_left,72
sub25,task1,1,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,correct_right,60
sub25,task1,1,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,error_left,12
sub25,task1,1,clean_epochs_task1_ICA_sub25_cjb1_sess1-epo.fif,error_right,6
sub25,task1,2,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,correct,143
sub25,task1,2,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,error,7
sub25,task1,2,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,left,54
sub25,task1,2,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,right,96
sub25,task1,2,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,correct_left,52
sub25,task1,2,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,correct_right,91
sub25,task1,2,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,error_left,2
sub25,task1,2,clean_epochs_task1_ICA_sub25_cjb1_sess2-epo.fif,error_right,5
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess3-epo.fif,correct,273
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess3-epo.fif,error,27
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess3-epo.fif,left,140
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess3-epo.fif,right,160
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess3-epo.fif,correct_left,130
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess3-epo.fif,correct_right,143
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess3-epo.fif,error_left,10
sub26,task1,3,clean_epochs_task1_ICA_sub26_pzq1_sess3-epo.fif,error_right,17
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess4-epo.fif,correct,263
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess4-epo.fif,error,37
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess4-epo.fif,left,149
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess4-epo.fif,right,151
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess4-epo.fif,correct_left,122
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess4-epo.fif,correct_right,141
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess4-epo.fif,error_left,27
sub26,task1,4,clean_epochs_task1_ICA_sub26_pzq1_sess4-epo.fif,error_right,10
