subject,task,condition,component,roi,mean_amp_uV
sub19,task2,left,N1,"O1,Oz,O2",-5.805838636768682
sub19,task2,right,N1,"O1,Oz,O2",-5.908992722096491
sub20,task2,correct,N1,"O1,Oz,O2",-0.31991881889234614
sub20,task2,correct_left,N1,"O1,Oz,O2",-0.016688331080731186
sub20,task2,correct_right,N1,"O1,Oz,O2",-0.3910945418058812
sub20,task2,error,N1,"O1,Oz,O2",-0.5165228397356025
sub20,task2,error_left,N1,"O1,Oz,O2",0.3100275272366184
sub20,task2,error_right,N1,"O1,Oz,O2",-0.9534202385734086
sub20,task2,left,N1,"O1,Oz,O2",-0.000793472404295073
sub20,task2,right,N1,"O1,Oz,O2",-0.41019277874044224
sub21,task2,correct,N1,"O1,Oz,O2",-3.1056717364150987
sub21,task2,correct_left,N1,"O1,Oz,O2",-3.2447460377996085
sub21,task2,correct_right,N1,"O1,Oz,O2",-3.1198345830649075
sub21,task2,error,N1,"O1,Oz,O2",-3.256141178306243
sub21,task2,error_left,N1,"O1,Oz,O2",-3.3995751011800888
sub21,task2,error_right,N1,"O1,Oz,O2",-3.1118273334603357
sub21,task2,left,N1,"O1,Oz,O2",-3.249925198962224
sub21,task2,right,N1,"O1,Oz,O2",-3.092941898547125
sub22,task2,correct,N1,"O1,Oz,O2",-1.1429393574421862
sub22,task2,correct_left,N1,"O1,Oz,O2",-1.4171888156149
sub22,task2,correct_right,N1,"O1,Oz,O2",-1.0064334451608778
sub22,task2,error,N1,"O1,Oz,O2",-0.9774515487975131
sub22,task2,error_left,N1,"O1,Oz,O2",-0.8799054375576608
sub22,task2,error_right,N1,"O1,Oz,O2",-0.5184683368878609
sub22,task2,left,N1,"O1,Oz,O2",-1.4621318228869273
sub22,task2,right,N1,"O1,Oz,O2",-0.9837142953858327
sub24,task2,correct,N1,"O1,Oz,O2",-2.647755225044346
sub24,task2,correct_left,N1,"O1,Oz,O2",-2.9986186266563473
sub24,task2,correct_right,N1,"O1,Oz,O2",-2.651589159881508
sub24,task2,error,N1,"O1,Oz,O2",-3.1047937793836433
sub24,task2,error_left,N1,"O1,Oz,O2",-3.1341482826982587
sub24,task2,error_right,N1,"O1,Oz,O2",-3.0774915000679606
sub24,task2,left,N1,"O1,Oz,O2",-2.950192955946085
sub24,task2,right,N1,"O1,Oz,O2",-2.7501339912848786
sub25,task2,correct,N1,"O1,Oz,O2",-3.4843564315641675
