task,component,comparison,n,mean_a,mean_b,mean_diff,t,df,p,p_bonf_4,cohen_dz
task1,N1,correct vs error,10,-4.596245120350271,-4.784953431287563,0.18870831093729082,1.8087848280623442,9,0.1039347596494674,0.4157390385978696,0.5719879853833054
task1,N1,left vs right,10,-4.672969236000225,-4.54056228336165,-0.13240695263857383,-1.2740717189994872,9,0.2345527041624001,0.9382108166496004,-0.4028968534444404
task2,N1,correct vs error,10,-3.7061652779316163,-3.860986964527509,0.1548216865958932,0.9956850202014689,9,0.3454180525203181,1.0,0.3148632495947407
task2,N1,left vs right,10,-3.7595533506092247,-3.739963234866793,-0.019590115742432624,-0.2598334435935726,9,0.8008385979409691,1.0,-0.08216654940405753
