subject,task,session,file,condition,n_trials
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct_left,26
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,correct_right,251
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error_left,9
sub20,task2,3,clean_epochs_task2_ICA_sub20_pyb1_sess3-epo.fif,error_right,14
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct,275
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error,25
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,left,50
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,right,250
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct_left,43
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,correct_right,232
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error_left,7
sub20,task2,4,clean_epochs_task2_ICA_sub20_pyb1_sess4-epo.fif,error_right,18
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct,126
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error,24
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,left,57
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,right,93
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct_left,51
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,correct_right,75
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error_left,6
sub20,task2,1,clean_epochs_task2_ICA_sub20_pyb1_sess1-epo.fif,error_right,18
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct,135
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error,15
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,left,66
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,right,84
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct_left,60
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,correct_right,75
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error_left,6
sub20,task2,2,clean_epochs_task2_ICA_sub20_pyb1_sess2-epo.fif,error_right,9
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,correct,221
sub21,task2,3,clean_epochs_task2_ICA_sub21_zfy1_sess3-epo.fif,error,79
