train_time,test_time,mean_auc,sem_auc,t_value_vs_0.5,cluster_corrected_significant
-0.5,-0.42,0.488884030964311,0.007011947868443509,-1.585289743198901,0
-0.5,-0.418,0.48498820896814127,0.007099058437015929,-2.1146171939625424,0
-0.5,-0.416,0.48502480182373364,0.007693561587051765,-1.9464584778874763,0
-0.5,-0.414,0.4838274956105189,0.007719593633660502,-2.09499426484867,0
-0.5,-0.412,0.4835351326596089,0.00809037281324462,-2.035118494593559,0
-0.5,-0.41,0.48330363052697944,0.00812743171638853,-2.0543229467376762,0
-0.5,-0.408,0.4838459700915357,0.008180304885799353,-1.9747466792474946,0
-0.5,-0.40599999999999997,0.4844944866435802,0.007937696986005906,-1.9534020237552476,0
-0.5,-0.40399999999999997,0.4866560594140939,0.007764925519849576,-1.7184891924326677,0
-0.5,-0.40199999999999997,0.4888702001996017,0.007433053117879185,-1.4973389297632198,0
-0.5,-0.39999999999999997,0.49181727908636846,0.0072006149832084185,-1.1363919516198675,0
-0.5,-0.39799999999999996,0.4939733343221762,0.006875658037906601,-0.8765220208157312,0
-0.5,-0.39599999999999996,0.4976020399416639,0.006420314789302444,-0.3734957143116305,0
-0.5,-0.39399999999999996,0.49946445953927,0.005765749221665464,-0.0928830651734876,0
-0.5,-0.39199999999999996,0.5013275962610612,0.005124708565846359,0.25905790426969655,0
-0.5,-0.39,0.501760929205975,0.004829650972871187,0.3646079635705439,0
-0.5,-0.388,0.5014749576138559,0.00514154719714217,0.2868703830387231,0
-0.5,-0.386,0.5007618980807984,0.0058956130170538645,0.12923135873985886,0
-0.5,-0.384,0.50003392908891,0.006684934321131228,0.005075455835475469,0
-0.5,-0.382,0.49864540521480955,0.006913901408780832,-0.19592335862210564,0
-0.5,-0.38,0.49867567052609585,0.006884380630596479,-0.19236726511292318,0
-0.5,-0.378,0.49846893148309557,0.0065431991452786975,-0.2339938740836205,0
-0.5,-0.376,0.4981971431776986,0.006223350968335285,-0.2896922946294453,0
-0.5,-0.374,0.49812703040453044,0.005807069579095903,-0.3225326595382447,0
-0.5,-0.372,0.4983034737685296,0.005514953947968824,-0.30762291897202015,0
-0.5,-0.37,0.498514458200646,0.005285990578859476,-0.28103375842084233,0
-0.5,-0.368,0.49911855917764675,0.005382977492163282,-0.16374596097356062,0
-0.5,-0.366,0.49959606463234074,0.005796563637836313,-0.06968531580032722,0
-0.5,-0.364,0.5002051119825071,0.006124178067377051,0.03349216503021041,0
-0.5,-0.362,0.5004511576967031,0.006131353523617076,0.0735820720441684,0
-0.5,-0.36,0.5003152803340704,0.006115089977447147,0.05155775879557481,0
-0.5,-0.358,0.4995153404350885,0.006175617772113655,-0.0784795275219196,0
-0.5,-0.356,0.49855663328943955,0.0060956940616582415,-0.23678463780508927,0
-0.5,-0.354,0.49765124487406565,0.006062438586788715,-0.3874274505728842,0
-0.5,-0.352,0.4971995298483447,0.005938026130735684,-0.4716163401773771,0
-0.5,-0.35,0.49807032896721637,0.005720076234391685,-0.33735057955725556,0
-0.5,-0.348,0.49875099983118837,0.005686177615452454,-0.21965549676417484,0
-0.5,-0.346,0.49908083218952143,0.0057516027150851835,-0.15981072685494363,0
-0.5,-0.344,0.49869509337703155,0.005862589903637603,-0.2225819380882932,0
-0.5,-0.34199999999999997,0.49895168738715656,0.006239302414529895,-0.16801759927552368,0
-0.5,-0.33999999999999997,0.4993411106616577,0.006943429638646619,-0.0948939317646357,0
-0.5,-0.33799999999999997,0.5000732187978434,0.007516776370217724,0.00974071786058436,0
-0.5,-0.33599999999999997,0.5004862906187055,0.007976813353694644,0.06096301833115754,0
-0.5,-0.33399999999999996,0.5002353222691948,0.008222463883397155,0.028619434822925865,0
-0.5,-0.33199999999999996,0.5005736207976628,0.008201713191579653,0.06993914372081364,0
-0.5,-0.32999999999999996,0.5002803369826174,0.008054274467337976,0.03480598826800892,0
-0.5,-0.32799999999999996,0.5000735381506299,0.007722034447421541,0.009523157547487053,0
-0.5,-0.32599999999999996,0.5000065039154045,0.007267388400595648,0.0008949453429363932,0
-0.5,-0.32399999999999995,0.4994645645557353,0.006924951977941008,-0.07731973390868775,0
-0.5,-0.32199999999999995,0.4983726701224285,0.006839964319252155,-0.23791496587069202,0
-0.5,-0.31999999999999995,0.4976458087173807,0.007017384247849086,-0.33547988815647173,0
-0.5,-0.318,0.4964828316148542,0.007209242212657742,-0.487869360107031,0
-0.5,-0.316,0.49667088659977016,0.007528816249760275,-0.44218284651798606,0
-0.5,-0.314,0.4975894709779144,0.007790308130446797,-0.3094266596034403,0
-0.5,-0.312,0.4994806647143167,0.00822063522321764,-0.06317459315267451,0
-0.5,-0.31,0.5018227683341446,0.008464437797910429,0.21534428838200248,0
-0.5,-0.308,0.5028373619682363,0.008432316905712323,0.33648663824696295,0
-0.5,-0.306,0.5033684495848911,0.00824782803643922,0.4084044393274406,0
-0.5,-0.304,0.5036126268933357,0.008152774352333792,0.44311626168111595,0
-0.5,-0.302,0.5030649059874226,0.008072251371072597,0.37968416077895895,0
-0.5,-0.3,0.5022549514032048,0.00806323566293075,0.27965837753836553,0
-0.5,-0.298,0.500739431423988,0.008143019326974114,0.09080555925227383,0
-0.5,-0.296,0.4996848339279569,0.00821257905959961,-0.03837601680981313,0
-0.5,-0.294,0.4985362929592185,0.008225372254965226,-0.17795024898696457,0
-0.5,-0.292,0.49715962979759376,0.007864443539921393,-0.3611660746228427,0
-0.5,-0.29,0.4951897666245563,0.007542483885643291,-0.6377518929274358,0
-0.5,-0.288,0.4927826311567377,0.007122564193695682,-1.0133104661451184,0
-0.5,-0.286,0.49114975173172415,0.0066243651623034295,-1.3360145540645993,0
-0.5,-0.284,0.4907681567430374,0.005847791666769065,-1.5786888081912849,0
-0.5,-0.282,0.4916088532974021,0.005160663996194283,-1.6259819877414854,0
-0.5,-0.27999999999999997,0.4938635886206976,0.004756309451454092,-1.290162350018334,0
-0.5,-0.278,0.4964762546909816,0.004503409395866378,-0.782461686084497,0
-0.5,-0.276,0.4989916364737881,0.004568111131419015,-0.22073970995944647,0
-0.5,-0.274,0.5003916969988131,0.004882628148135602,0.08022257418121187,0
-0.5,-0.272,0.5016179488490164,0.005034731048194834,0.3213575528720048,0
-0.5,-0.27,0.5022003287187897,0.005465193080718642,0.4026076821608728,0
-0.5,-0.268,0.5024667869792606,0.006071434997232386,0.4062938959875276,0
-0.5,-0.266,0.5021429600188428,0.006762736973627331,0.3168776232462717,0
-0.5,-0.264,0.5009063728223929,0.007102320245612854,0.12761643956463775,0
-0.5,-0.262,0.498518204543504,0.007193878489768615,-0.20598005076170553,0
-0.5,-0.26,0.4965415115350596,0.0070870418386741775,-0.4880016999571466,0
-0.5,-0.258,0.4944142134166114,0.007032593294295405,-0.7942712381675047,0
-0.5,-0.256,0.4929883724083941,0.007127981424347121,-0.9836764680188634,0
-0.5,-0.254,0.49108648783310777,0.007296530077286,-1.2216097340076641,0
-0.5,-0.252,0.4895289859917572,0.007666244601039283,-1.3658596292144607,0
-0.5,-0.24999999999999997,0.4881703748560454,0.007995400596263027,-1.4795537761402067,0
-0.5,-0.248,0.4875328343442644,0.008191466765184056,-1.5219698758620799,0
-0.5,-0.246,0.48766552488708376,0.008353309095553749,-1.4765974743448136,0
-0.5,-0.244,0.4878788460795872,0.008279566242876318,-1.463984170770026,0
-0.5,-0.242,0.48831383992435834,0.008036094925421676,-1.4542088146163135,0
-0.5,-0.24,0.48925384664773414,0.007634451118806013,-1.407586895905948,0
-0.5,-0.238,0.4904891008747385,0.006994376031495878,-1.359792364956314,0
-0.5,-0.236,0.49177896758799816,0.00644175670850859,-1.2762097024159524,0
-0.5,-0.23399999999999999,0.4938382890544542,0.006063049238427414,-1.0162726217846167,0
-0.5,-0.23199999999999998,0.4960402771625655,0.00609785459913732,-0.6493632757322159,0
-0.5,-0.22999999999999998,0.4987824830539188,0.006232024447038964,-0.19536459723927085,0
-0.5,-0.22799999999999998,0.5009032667817568,0.006342764298160007,0.14240900958888295,0
-0.5,-0.22599999999999998,0.5031445168100822,0.006465512875915414,0.48635226167372525,0
