train_time,test_time,mean_auc,sem_auc,t_value_vs_0.5,cluster_corrected_significant
-0.5,-0.42,0.49218643520719935,0.006110697557263228,-1.2786698604504414,0
-0.5,-0.418,0.48769345469580777,0.005432545568096952,-2.2653367836366503,0
-0.5,-0.416,0.48525870538448584,0.005464386706087378,-2.697703403584556,0
-0.5,-0.414,0.482871770940172,0.005447225920075563,-3.1443948371413124,0
-0.5,-0.412,0.4809588159651124,0.005914466955581595,-3.219425212430688,0
-0.5,-0.41,0.4797521915127837,0.005981253523959158,-3.3852115457252436,0
-0.5,-0.408,0.4791536687849132,0.0062958797612993975,-3.311106946995493,0
-0.5,-0.40599999999999997,0.47889048117121824,0.006376773817533062,-3.31037597268085,0
-0.5,-0.40399999999999997,0.47992740903307857,0.00650278680993755,-3.0867674973207637,0
-0.5,-0.40199999999999997,0.4811376138744933,0.006337462013459042,-2.9763312325104425,0
-0.5,-0.39999999999999997,0.48361339436714273,0.0062710520482136345,-2.613055274756508,0
-0.5,-0.39799999999999996,0.48575644481650676,0.006195419708851419,-2.299046045765611,0
-0.5,-0.39599999999999996,0.4885548446433416,0.005868748579970341,-1.950186688133141,0
-0.5,-0.39399999999999996,0.4904436130377531,0.005473741106859912,-1.745860239950077,0
-0.5,-0.39199999999999996,0.49224072360408355,0.004868782095784694,-1.593679126168803,0
-0.5,-0.39,0.4931133301277427,0.004293670176681382,-1.6039121751033132,0
-0.5,-0.388,0.4934470029280864,0.003920864855956442,-1.6713141902757624,0
-0.5,-0.386,0.49273524115248196,0.003819166876005095,-1.9021841892169908,0
-0.5,-0.384,0.49197465668605433,0.003927019588187878,-2.0436219208290067,0
-0.5,-0.382,0.4907675889506244,0.004024662813588788,-2.293958892209187,0
-0.5,-0.38,0.4895933868473991,0.004206814173595863,-2.473751566664913,0
-0.5,-0.378,0.4890794080975763,0.004274043453534444,-2.5550961334735445,0
-0.5,-0.376,0.4890647398046041,0.0046029355488518605,-2.3757143847307494,0
-0.5,-0.374,0.48915413887413417,0.005061839586800117,-2.1426718369639377,0
-0.5,-0.372,0.4899514609820956,0.005567904478838655,-1.8047254682789076,0
-0.5,-0.37,0.4905777743646766,0.005866572833729423,-1.6060868759953006,0
-0.5,-0.368,0.491729464945091,0.006242122682253757,-1.3249555441167464,0
-0.5,-0.366,0.4928457281225038,0.006434275801247363,-1.1119000954403018,0
-0.5,-0.364,0.4931702784596997,0.006653572918270827,-1.0264742904591437,0
-0.5,-0.362,0.49357132519931507,0.00663776976572833,-0.96849921397953,0
-0.5,-0.36,0.4939451180478715,0.006455310060405841,-0.937969190553139,0
-0.5,-0.358,0.49354841023466695,0.006109637329446406,-1.0559693509528671,0
-0.5,-0.356,0.4930114984310999,0.005616164674890656,-1.2443548174691128,0
-0.5,-0.354,0.49267243031804,0.005138781231488258,-1.425935324325516,0
-0.5,-0.352,0.4930833008326316,0.004993794910466952,-1.3850587161421435,0
-0.5,-0.35,0.49388625449595613,0.0049601840136756226,-1.2325642530978071,0
-0.5,-0.348,0.4945982702702267,0.005107273750899419,-1.0576542384911456,0
-0.5,-0.346,0.4948250108721152,0.004941774037456746,-1.0471925848208328,0
